emoji,description,version,keywords,category,group,subgroup,parent,components
🏻,"light skin tone",1.0,1–2|light|skin|tone|type,components,component,skin-tone,,
🏼,"medium-light skin tone",1.0,3|medium-light|skin|tone|type,components,component,skin-tone,,
🏽,"medium skin tone",1.0,4|medium|skin|tone|type,components,component,skin-tone,,
🏾,"medium-dark skin tone",1.0,5|medium-dark|skin|tone|type,components,component,skin-tone,,
🏿,"dark skin tone",1.0,6|dark|skin|tone|type,components,component,skin-tone,,
🦰,"red hair",11.0,ginger|hair|red|redhead,components,component,hair-style,,
🦱,"curly hair",11.0,afro|curly|hair|ringlets,components,component,hair-style,,
🦳,"white hair",11.0,gray|hair|old|white,components,component,hair-style,,
🦲,"bald",11.0,bald|chemotherapy|hair|hairless|no|shaven,components,component,hair-style,,
😀,"grinning face",1.0,cheerful|cheery|face|grin|grinning|happy|laugh|nice|smile|smiling|teeth,face-emotion,smileys-emotion,face-smiling,,
😃,"grinning face with big eyes",0.6,awesome|big|eyes|face|grin|grinning|happy|mouth|open|smile|smiling|teeth|yay,face-emotion,smileys-emotion,face-smiling,,
😄,"grinning face with smiling eyes",0.6,eye|eyes|face|grin|grinning|happy|laugh|lol|mouth|open|smile|smiling,face-emotion,smileys-emotion,face-smiling,,
😁,"beaming face with smiling eyes",0.6,beaming|eye|eyes|face|grin|grinning|happy|nice|smile|smiling|teeth,face-emotion,smileys-emotion,face-smiling,,
😆,"grinning squinting face",0.6,closed|eyes|face|grinning|haha|hahaha|happy|laugh|lol|mouth|open|rofl|smile|smiling|squinting,face-emotion,smileys-emotion,face-smiling,,
😅,"grinning face with sweat",0.6,cold|dejected|excited|face|grinning|mouth|nervous|open|smile|smiling|stress|stressed|sweat,face-emotion,smileys-emotion,face-smiling,,
🤣,"rolling on the floor laughing",3.0,crying|face|floor|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|rolling|tear,face-emotion,smileys-emotion,face-smiling,,
😂,"face with tears of joy",0.6,crying|face|feels|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|tear,face-emotion,smileys-emotion,face-smiling,,
🙂,"slightly smiling face",1.0,face|happy|slightly|smile|smiling,face-emotion,smileys-emotion,face-smiling,,
🙃,"upside-down face",1.0,face|hehe|smile|upside-down,face-emotion,smileys-emotion,face-smiling,,
🫠,"melting face",14.0,disappear|dissolve|embarrassed|face|haha|heat|hot|liquid|lol|melt|melting|sarcasm|sarcastic,face-emotion,smileys-emotion,face-smiling,,
😉,"winking face",0.6,face|flirt|heartbreaker|sexy|slide|tease|wink|winking|winks,face-emotion,smileys-emotion,face-smiling,,
😊,"smiling face with smiling eyes",0.6,blush|eye|eyes|face|glad|satisfied|smile|smiling,face-emotion,smileys-emotion,face-smiling,,
😇,"smiling face with halo",1.0,angel|angelic|angels|blessed|face|fairy|fairytale|fantasy|halo|happy|innocent|peaceful|smile|smiling|spirit|tale,face-emotion,smileys-emotion,face-smiling,,
🥰,"smiling face with hearts",11.0,3|adore|crush|face|heart|hearts|ily|love|romance|smile|smiling|you,face-emotion,smileys-emotion,face-affection,,
😍,"smiling face with heart-eyes",0.6,143|bae|eye|face|feels|heart-eyes|hearts|ily|kisses|love|romance|romantic|smile|xoxo,face-emotion,smileys-emotion,face-affection,,
🤩,"star-struck",5.0,excited|eyes|face|grinning|smile|star|star-struck|starry-eyed|wow,face-emotion,smileys-emotion,face-affection,,
😘,"face blowing a kiss",0.6,adorbs|bae|blowing|face|flirt|heart|ily|kiss|love|lover|miss|muah|romantic|smooch|xoxo|you,face-emotion,smileys-emotion,face-affection,,
😗,"kissing face",1.0,143|date|dating|face|flirt|ily|kiss|love|smooch|smooches|xoxo|you,face-emotion,smileys-emotion,face-affection,,
☺️,"smiling face",0.6,face|happy|outlined|relaxed|smile|smiling,face-emotion,smileys-emotion,face-affection,,
😚,"kissing face with closed eyes",0.6,143|bae|blush|closed|date|dating|eye|eyes|face|flirt|ily|kisses|kissing|smooches|xoxo,face-emotion,smileys-emotion,face-affection,,
😙,"kissing face with smiling eyes",1.0,143|closed|date|dating|eye|eyes|face|flirt|ily|kiss|kisses|kissing|love|night|smile|smiling,face-emotion,smileys-emotion,face-affection,,
🥲,"smiling face with tear",13.0,face|glad|grateful|happy|joy|pain|proud|relieved|smile|smiley|smiling|tear|touched,face-emotion,smileys-emotion,face-affection,,
😋,"face savoring food",0.6,delicious|eat|face|food|full|hungry|savor|smile|smiling|tasty|um|yum|yummy,face-emotion,smileys-emotion,face-tongue,,
😛,"face with tongue",1.0,awesome|cool|face|nice|party|stuck-out|sweet|tongue,face-emotion,smileys-emotion,face-tongue,,
😜,"winking face with tongue",0.6,crazy|epic|eye|face|funny|joke|loopy|nutty|party|stuck-out|tongue|wacky|weirdo|wink|winking|yolo,face-emotion,smileys-emotion,face-tongue,,
🤪,"zany face",5.0,crazy|eye|eyes|face|goofy|large|small|zany,face-emotion,smileys-emotion,face-tongue,,
😝,"squinting face with tongue",0.6,closed|eye|eyes|face|gross|horrible|omg|squinting|stuck-out|taste|tongue|whatever|yolo,face-emotion,smileys-emotion,face-tongue,,
🤑,"money-mouth face",1.0,face|money|money-mouth|mouth|paid,face-emotion,smileys-emotion,face-tongue,,
🤗,"smiling face with open hands",1.0,face|hands|hug|hugging|open|smiling,face-emotion,smileys-emotion,face-hand,,
🤭,"face with hand over mouth",5.0,face|giggle|giggling|hand|mouth|oops|realization|secret|shock|sudden|surprise|whoops,face-emotion,smileys-emotion,face-hand,,
🫢,"face with open eyes and hand over mouth",14.0,amazement|awe|disbelief|embarrass|eyes|face|gasp|hand|mouth|omg|open|over|quiet|scared|shock|surprise,face-emotion,smileys-emotion,face-hand,,
🫣,"face with peeking eye",14.0,captivated|embarrass|eye|face|hide|hiding|peek|peeking|peep|scared|shy|stare,face-emotion,smileys-emotion,face-hand,,
🤫,"shushing face",5.0,face|quiet|shh|shush|shushing,face-emotion,smileys-emotion,face-hand,,
🤔,"thinking face",1.0,chin|consider|face|hmm|ponder|pondering|thinking|wondering,face-emotion,smileys-emotion,face-hand,,
🫡,"saluting face",14.0,face|good|luck|ma’am|OK|respect|salute|saluting|sir|troops|yes,face-emotion,smileys-emotion,face-hand,,
🤐,"zipper-mouth face",1.0,face|keep|mouth|quiet|secret|shut|zip|zipper|zipper-mouth,face-emotion,smileys-emotion,face-neutral-skeptical,,
🤨,"face with raised eyebrow",5.0,disapproval|disbelief|distrust|emoji|eyebrow|face|hmm|mild|raised|skeptic|skeptical|skepticism|surprise|what,face-emotion,smileys-emotion,face-neutral-skeptical,,
😐,"neutral face",0.7,awkward|blank|deadpan|expressionless|face|fine|jealous|meh|neutral|oh|shade|straight|unamused|unhappy|unimpressed|whatever,face-emotion,smileys-emotion,face-neutral-skeptical,,
😑,"expressionless face",1.0,awkward|dead|expressionless|face|fine|inexpressive|jealous|meh|not|oh|omg|straight|uh|unhappy|unimpressed|whatever,face-emotion,smileys-emotion,face-neutral-skeptical,,
😶,"face without mouth",1.0,awkward|blank|expressionless|face|mouth|mouthless|mute|quiet|secret|silence|silent|speechless,face-emotion,smileys-emotion,face-neutral-skeptical,,
🫥,"dotted line face",14.0,depressed|disappear|dotted|face|hidden|hide|introvert|invisible|line|meh|whatever|wtv,face-emotion,smileys-emotion,face-neutral-skeptical,,
😶‍🌫️,"face in clouds",13.1,absentminded|clouds|face|fog|head,face-emotion,smileys-emotion,face-neutral-skeptical,,
😏,"smirking face",0.6,boss|dapper|face|flirt|homie|kidding|leer|shade|slick|sly|smirk|smug|snicker|suave|suspicious|swag,face-emotion,smileys-emotion,face-neutral-skeptical,,
😒,"unamused face",0.6,...|bored|face|fine|jealous|jel|jelly|pissed|smh|ugh|uhh|unamused|unhappy|weird|whatever,face-emotion,smileys-emotion,face-neutral-skeptical,,
🙄,"face with rolling eyes",1.0,eyeroll|eyes|face|rolling|shade|ugh|whatever,face-emotion,smileys-emotion,face-neutral-skeptical,,
😬,"grimacing face",1.0,awk|awkward|dentist|face|grimace|grimacing|grinning|smile|smiling,face-emotion,smileys-emotion,face-neutral-skeptical,,
😮‍💨,"face exhaling",13.1,blow|blowing|exhale|exhaling|exhausted|face|gasp|groan|relief|sigh|smiley|smoke|whisper|whistle,face-emotion,smileys-emotion,face-neutral-skeptical,,
🤥,"lying face",3.0,face|liar|lie|lying|pinocchio,face-emotion,smileys-emotion,face-neutral-skeptical,,
🫨,"shaking face",15.0,crazy|daze|earthquake|face|omg|panic|shaking|shock|surprise|vibrate|whoa|wow,face-emotion,smileys-emotion,face-neutral-skeptical,,
🙂‍↔️,"head shaking horizontally",15.1,head|horizontally|no|shake|shaking,face-emotion,smileys-emotion,face-neutral-skeptical,,
🙂‍↕️,"head shaking vertically",15.1,head|nod|shaking|vertically|yes,face-emotion,smileys-emotion,face-neutral-skeptical,,
😌,"relieved face",0.6,calm|face|peace|relief|relieved|zen,face-emotion,smileys-emotion,face-sleepy,,
😔,"pensive face",0.6,awful|bored|dejected|died|disappointed|face|losing|lost|pensive|sad|sucks,face-emotion,smileys-emotion,face-sleepy,,
😪,"sleepy face",0.6,crying|face|good|night|sad|sleep|sleeping|sleepy|tired,face-emotion,smileys-emotion,face-sleepy,,
🤤,"drooling face",3.0,drooling|face,face-emotion,smileys-emotion,face-sleepy,,
😴,"sleeping face",1.0,bed|bedtime|face|good|goodnight|nap|night|sleep|sleeping|tired|whatever|yawn|zzz,face-emotion,smileys-emotion,face-sleepy,,
🫩,"face with bags under eyes",16.0,bags|bored|exhausted|eyes|face|fatigued|late|sleepy|tired|weary,face-emotion,smileys-emotion,face-sleepy,,
😷,"face with medical mask",0.6,cold|dentist|dermatologist|doctor|dr|face|germs|mask|medical|medicine|sick,face-emotion,smileys-emotion,face-unwell,,
🤒,"face with thermometer",1.0,face|ill|sick|thermometer,face-emotion,smileys-emotion,face-unwell,,
🤕,"face with head-bandage",1.0,bandage|face|head-bandage|hurt|injury|ouch,face-emotion,smileys-emotion,face-unwell,,
🤢,"nauseated face",3.0,face|gross|nasty|nauseated|sick|vomit,face-emotion,smileys-emotion,face-unwell,,
🤮,"face vomiting",5.0,barf|ew|face|gross|puke|sick|spew|throw|up|vomit|vomiting,face-emotion,smileys-emotion,face-unwell,,
🤧,"sneezing face",3.0,face|fever|flu|gesundheit|sick|sneeze|sneezing,face-emotion,smileys-emotion,face-unwell,,
🥵,"hot face",11.0,dying|face|feverish|heat|hot|panting|red-faced|stroke|sweating|tongue,face-emotion,smileys-emotion,face-unwell,,
🥶,"cold face",11.0,blue|blue-faced|cold|face|freezing|frostbite|icicles|subzero|teeth,face-emotion,smileys-emotion,face-unwell,,
🥴,"woozy face",11.0,dizzy|drunk|eyes|face|intoxicated|mouth|tipsy|uneven|wavy|woozy,face-emotion,smileys-emotion,face-unwell,,
😵,"face with crossed-out eyes",0.6,crossed-out|dead|dizzy|eyes|face|feels|knocked|out|sick|tired,face-emotion,smileys-emotion,face-unwell,,
😵‍💫,"face with spiral eyes",13.1,confused|dizzy|eyes|face|hypnotized|omg|smiley|spiral|trouble|whoa|woah|woozy,face-emotion,smileys-emotion,face-unwell,,
🤯,"exploding head",5.0,blown|explode|exploding|head|mind|mindblown|no|shocked|way,face-emotion,smileys-emotion,face-unwell,,
🤠,"cowboy hat face",3.0,cowboy|cowgirl|face|hat,face-emotion,smileys-emotion,face-hat,,
🥳,"partying face",11.0,bday|birthday|celebrate|celebration|excited|face|happy|hat|hooray|horn|party|partying,face-emotion,smileys-emotion,face-hat,,
🥸,"disguised face",13.0,disguise|eyebrow|face|glasses|incognito|moustache|mustache|nose|person|spy|tache|tash,face-emotion,smileys-emotion,face-hat,,
😎,"smiling face with sunglasses",1.0,awesome|beach|bright|bro|chilling|cool|face|rad|relaxed|shades|slay|smile|style|sunglasses|swag|win,face-emotion,smileys-emotion,face-glasses,,
🤓,"nerd face",1.0,brainy|clever|expert|face|geek|gifted|glasses|intelligent|nerd|smart,face-emotion,smileys-emotion,face-glasses,,
🧐,"face with monocle",5.0,classy|face|fancy|monocle|rich|stuffy|wealthy,face-emotion,smileys-emotion,face-glasses,,
😕,"confused face",1.0,befuddled|confused|confusing|dunno|face|frown|hm|meh|not|sad|sorry|sure,face-emotion,smileys-emotion,face-concerned,,
🫤,"face with diagonal mouth",14.0,confused|confusion|diagonal|disappointed|doubt|doubtful|face|frustrated|frustration|meh|mouth|skeptical|unsure|whatever|wtv,face-emotion,smileys-emotion,face-concerned,,
😟,"worried face",1.0,anxious|butterflies|face|nerves|nervous|sad|stress|stressed|surprised|worried|worry,face-emotion,smileys-emotion,face-concerned,,
🙁,"slightly frowning face",1.0,face|frown|frowning|sad|slightly,face-emotion,smileys-emotion,face-concerned,,
☹️,"frowning face",0.7,face|frown|frowning|sad,face-emotion,smileys-emotion,face-concerned,,
😮,"face with open mouth",1.0,believe|face|forgot|mouth|omg|open|shocked|surprised|sympathy|unbelievable|unreal|whoa|wow|you,face-emotion,smileys-emotion,face-concerned,,
😯,"hushed face",1.0,epic|face|hushed|omg|stunned|surprised|whoa|woah,face-emotion,smileys-emotion,face-concerned,,
😲,"astonished face",0.6,astonished|cost|face|no|omg|shocked|totally|way,face-emotion,smileys-emotion,face-concerned,,
😳,"flushed face",0.6,amazed|awkward|crazy|dazed|dead|disbelief|embarrassed|face|flushed|geez|heat|hot|impressed|jeez|what|wow,face-emotion,smileys-emotion,face-concerned,,
🫪,"distorted face",17.0,anxiety|bloated|panic|shocked|surprised|vulnerable,face-emotion,smileys-emotion,face-concerned,,
🥺,"pleading face",11.0,begging|big|eyes|face|mercy|not|pleading|please|pretty|puppy|sad|why,face-emotion,smileys-emotion,face-concerned,,
🥹,"face holding back tears",14.0,admiration|aww|back|cry|embarrassed|face|feelings|grateful|gratitude|holding|joy|please|proud|resist|sad|tears,face-emotion,smileys-emotion,face-concerned,,
😦,"frowning face with open mouth",1.0,caught|face|frown|frowning|guard|mouth|open|scared|scary|surprise|what|wow,face-emotion,smileys-emotion,face-concerned,,
😧,"anguished face",1.0,anguished|face|forgot|scared|scary|stressed|surprise|unhappy|what|wow,face-emotion,smileys-emotion,face-concerned,,
😨,"fearful face",0.6,afraid|anxious|blame|face|fear|fearful|scared|worried,face-emotion,smileys-emotion,face-concerned,,
😰,"anxious face with sweat",0.6,anxious|blue|cold|eek|face|mouth|nervous|open|rushed|scared|sweat|yikes,face-emotion,smileys-emotion,face-concerned,,
😥,"sad but relieved face",0.6,anxious|call|close|complicated|disappointed|face|not|relieved|sad|sweat|time|whew,face-emotion,smileys-emotion,face-concerned,,
😢,"crying face",0.6,awful|cry|crying|face|feels|miss|sad|tear|triste|unhappy,face-emotion,smileys-emotion,face-concerned,,
😭,"loudly crying face",0.6,bawling|cry|crying|face|loudly|sad|sob|tear|tears|unhappy,face-emotion,smileys-emotion,face-concerned,,
😱,"face screaming in fear",0.6,epic|face|fear|fearful|munch|scared|scream|screamer|screaming|shocked|surprised|woah,face-emotion,smileys-emotion,face-concerned,,
😖,"confounded face",0.6,annoyed|confounded|confused|cringe|distraught|face|feels|frustrated|mad|sad,face-emotion,smileys-emotion,face-concerned,,
😣,"persevering face",0.6,concentrate|concentration|face|focus|headache|persevere|persevering,face-emotion,smileys-emotion,face-concerned,,
😞,"disappointed face",0.6,awful|blame|dejected|disappointed|face|fail|losing|sad|unhappy,face-emotion,smileys-emotion,face-concerned,,
😓,"downcast face with sweat",0.6,close|cold|downcast|face|feels|headache|nervous|sad|scared|sweat|yikes,face-emotion,smileys-emotion,face-concerned,,
😩,"weary face",0.6,crying|face|fail|feels|hungry|mad|nooo|sad|sleepy|tired|unhappy|weary,face-emotion,smileys-emotion,face-concerned,,
😫,"tired face",0.6,cost|face|feels|nap|sad|sneeze|tired,face-emotion,smileys-emotion,face-concerned,,
🥱,"yawning face",12.0,bedtime|bored|face|goodnight|nap|night|sleep|sleepy|tired|whatever|yawn|yawning|zzz,face-emotion,smileys-emotion,face-concerned,,
😤,"face with steam from nose",0.6,anger|angry|face|feels|fume|fuming|furious|fury|mad|nose|steam|triumph|unhappy|won,face-emotion,smileys-emotion,face-negative,,
😡,"enraged face",0.6,anger|angry|enraged|face|feels|mad|maddening|pouting|rage|red|shade|unhappy|upset,face-emotion,smileys-emotion,face-negative,,
😠,"angry face",0.6,anger|angry|blame|face|feels|frustrated|mad|maddening|rage|shade|unhappy|upset,face-emotion,smileys-emotion,face-negative,,
🤬,"face with symbols on mouth",5.0,censor|cursing|cussing|face|mad|mouth|pissed|swearing|symbols,face-emotion,smileys-emotion,face-negative,,
😈,"smiling face with horns",1.0,demon|devil|evil|face|fairy|fairytale|fantasy|horns|purple|shade|smile|smiling|tale,face-emotion,smileys-emotion,face-negative,,
👿,"angry face with horns",0.6,angry|demon|devil|evil|face|fairy|fairytale|fantasy|horns|imp|mischievous|purple|shade|tale,face-emotion,smileys-emotion,face-negative,,
💀,"skull",0.6,body|dead|death|face|fairy|fairytale|i’m|lmao|monster|skull|tale|yolo,face-emotion,smileys-emotion,face-negative,,
☠️,"skull and crossbones",1.0,bone|crossbones|dead|death|face|monster|skull,face-emotion,smileys-emotion,face-negative,,
💩,"pile of poo",0.6,bs|comic|doo|dung|face|fml|monster|pile|poo|poop|smelly|smh|stink|stinks|stinky|turd,face-emotion,smileys-emotion,face-costume,,
🤡,"clown face",3.0,clown|face,face-emotion,smileys-emotion,face-costume,,
👹,"ogre",0.6,creature|devil|face|fairy|fairytale|fantasy|mask|monster|ogre|scary|tale,face-emotion,smileys-emotion,face-costume,,
👺,"goblin",0.6,angry|creature|face|fairy|fairytale|fantasy|goblin|mask|mean|monster|tale,face-emotion,smileys-emotion,face-costume,,
👻,"ghost",0.6,boo|creature|excited|face|fairy|fairytale|fantasy|ghost|halloween|haunting|monster|scary|silly|tale,face-emotion,smileys-emotion,face-costume,,
👽,"alien",0.6,alien|creature|extraterrestrial|face|fairy|fairytale|fantasy|monster|space|tale|ufo,face-emotion,smileys-emotion,face-costume,,
👾,"alien monster",0.6,alien|creature|extraterrestrial|face|fairy|fairytale|fantasy|game|gamer|games|monster|pixelated|space|tale|ufo,face-emotion,smileys-emotion,face-costume,,
🤖,"robot",1.0,face|monster|robot,face-emotion,smileys-emotion,face-costume,,
😺,"grinning cat",0.6,animal|cat|face|grinning|mouth|open|smile|smiling,face-emotion,smileys-emotion,cat-face,,
😸,"grinning cat with smiling eyes",0.6,animal|cat|eye|eyes|face|grin|grinning|smile|smiling,face-emotion,smileys-emotion,cat-face,,
😹,"cat with tears of joy",0.6,animal|cat|face|joy|laugh|laughing|lol|tear|tears,face-emotion,smileys-emotion,cat-face,,
😻,"smiling cat with heart-eyes",0.6,animal|cat|eye|face|heart|heart-eyes|love|smile|smiling,face-emotion,smileys-emotion,cat-face,,
😼,"cat with wry smile",0.6,animal|cat|face|ironic|smile|wry,face-emotion,smileys-emotion,cat-face,,
😽,"kissing cat",0.6,animal|cat|closed|eye|eyes|face|kiss|kissing,face-emotion,smileys-emotion,cat-face,,
🙀,"weary cat",0.6,animal|cat|face|oh|surprised|weary,face-emotion,smileys-emotion,cat-face,,
😿,"crying cat",0.6,animal|cat|cry|crying|face|sad|tear,face-emotion,smileys-emotion,cat-face,,
😾,"pouting cat",0.6,animal|cat|face|pouting,face-emotion,smileys-emotion,cat-face,,
🙈,"see-no-evil monkey",0.6,embarrassed|evil|face|forbidden|forgot|gesture|hide|monkey|no|omg|prohibited|scared|secret|smh|watch,face-emotion,smileys-emotion,monkey-face,,
🙉,"hear-no-evil monkey",0.6,animal|ears|evil|face|forbidden|gesture|hear|listen|monkey|no|not|prohibited|secret|shh|tmi,face-emotion,smileys-emotion,monkey-face,,
🙊,"speak-no-evil monkey",0.6,animal|evil|face|forbidden|gesture|monkey|no|not|oops|prohibited|quiet|secret|speak|stealth,face-emotion,smileys-emotion,monkey-face,,
💌,"love letter",0.6,heart|letter|love|mail|romance|valentine,face-emotion,smileys-emotion,heart,,
💘,"heart with arrow",0.6,143|adorbs|arrow|cupid|date|emotion|heart|ily|love|romance|valentine,face-emotion,smileys-emotion,heart,,
💝,"heart with ribbon",0.6,143|anniversary|emotion|heart|ily|kisses|ribbon|valentine|xoxo,face-emotion,smileys-emotion,heart,,
💖,"sparkling heart",0.6,143|emotion|excited|good|heart|ily|kisses|morning|night|sparkle|sparkling|xoxo,face-emotion,smileys-emotion,heart,,
💗,"growing heart",0.6,143|emotion|excited|growing|heart|heartpulse|ily|kisses|muah|nervous|pulse|xoxo,face-emotion,smileys-emotion,heart,,
💓,"beating heart",0.6,143|beating|cardio|emotion|heart|heartbeat|ily|love|pulsating|pulse,face-emotion,smileys-emotion,heart,,
💞,"revolving hearts",0.6,143|adorbs|anniversary|emotion|heart|hearts|revolving,face-emotion,smileys-emotion,heart,,
💕,"two hearts",0.6,143|anniversary|date|dating|emotion|heart|hearts|ily|kisses|love|loving|two|xoxo,face-emotion,smileys-emotion,heart,,
💟,"heart decoration",0.6,143|decoration|emotion|heart|hearth|purple|white,face-emotion,smileys-emotion,heart,,
❣️,"heart exclamation",1.0,exclamation|heart|heavy|mark|punctuation,face-emotion,smileys-emotion,heart,,
💔,"broken heart",0.6,break|broken|crushed|emotion|heart|heartbroken|lonely|sad,face-emotion,smileys-emotion,heart,,
❤️‍🔥,"heart on fire",13.1,burn|fire|heart|love|lust|sacred,face-emotion,smileys-emotion,heart,,
❤️‍🩹,"mending heart",13.1,healthier|heart|improving|mending|recovering|recuperating|well,face-emotion,smileys-emotion,heart,,
❤️,"red heart",0.6,emotion|heart|love|red,face-emotion,smileys-emotion,heart,,
🩷,"pink heart",15.0,143|adorable|cute|emotion|heart|ily|like|love|pink|special|sweet,face-emotion,smileys-emotion,heart,,
🧡,"orange heart",5.0,143|heart|orange,face-emotion,smileys-emotion,heart,,
💛,"yellow heart",0.6,143|cardiac|emotion|heart|ily|love|yellow,face-emotion,smileys-emotion,heart,,
💚,"green heart",0.6,143|emotion|green|heart|ily|love|romantic,face-emotion,smileys-emotion,heart,,
💙,"blue heart",0.6,143|blue|emotion|heart|ily|love|romance,face-emotion,smileys-emotion,heart,,
🩵,"light blue heart",15.0,143|blue|cute|cyan|emotion|heart|ily|light|like|love|sky|special|teal,face-emotion,smileys-emotion,heart,,
💜,"purple heart",0.6,143|bestest|emotion|heart|ily|love|purple,face-emotion,smileys-emotion,heart,,
🤎,"brown heart",12.0,143|brown|heart,face-emotion,smileys-emotion,heart,,
🖤,"black heart",3.0,black|evil|heart|wicked,face-emotion,smileys-emotion,heart,,
🩶,"grey heart",15.0,143|emotion|gray|grey|heart|ily|love|silver|slate|special,face-emotion,smileys-emotion,heart,,
🤍,"white heart",12.0,143|heart|white,face-emotion,smileys-emotion,heart,,
💋,"kiss mark",0.6,dating|emotion|heart|kiss|kissing|lips|mark|romance|sexy,face-emotion,smileys-emotion,emotion,,
💯,"hundred points",0.6,100|a+|agree|clearly|definitely|faithful|fleek|full|hundred|keep|perfect|point|score|TRUE|truth|yup,face-emotion,smileys-emotion,emotion,,
💢,"anger symbol",0.6,anger|angry|comic|mad|symbol|upset,face-emotion,smileys-emotion,emotion,,
🫯,"fight cloud",17.0,argument|brawl|debate|disagreement|fight|ruckus|wrestle,face-emotion,smileys-emotion,emotion,,
💥,"collision",0.6,bomb|boom|collide|collision|comic|explode,face-emotion,smileys-emotion,emotion,,
💫,"dizzy",0.6,comic|dizzy|shining|shooting|star|stars,face-emotion,smileys-emotion,emotion,,
💦,"sweat droplets",0.6,comic|drip|droplet|droplets|drops|splashing|squirt|sweat|water|wet|work|workout,face-emotion,smileys-emotion,emotion,,
💨,"dashing away",0.6,away|cloud|comic|dash|dashing|fart|fast|go|gone|gotta|running|smoke,face-emotion,smileys-emotion,emotion,,
🕳️,"hole",0.7,hole,symbols,smileys-emotion,emotion,,
💬,"speech balloon",0.6,balloon|bubble|comic|dialog|message|sms|speech|talk|text|typing,symbols,smileys-emotion,emotion,,
👁️‍🗨️,"eye in speech bubble",2.0,balloon|bubble|eye|speech|witness,symbols,smileys-emotion,emotion,,
🗨️,"left speech bubble",2.0,balloon|bubble|dialog|left|speech,symbols,smileys-emotion,emotion,,
🗯️,"right anger bubble",0.7,anger|angry|balloon|bubble|mad|right,symbols,smileys-emotion,emotion,,
💭,"thought balloon",1.0,balloon|bubble|cartoon|cloud|comic|daydream|decisions|dream|idea|invent|invention|realize|think|thoughts|wonder,symbols,smileys-emotion,emotion,,
💤,"ZZZ",0.6,comic|good|goodnight|night|sleep|sleeping|sleepy|tired|zzz,face-emotion,smileys-emotion,emotion,,
👋,"waving hand",0.6,bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|outtie|ttfn|ttyl|wave|yo|you,face-emotion,people-body,hand-fingers-open,,
👋🏻,"waving hand: light skin tone",1.0,bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|light skin tone|outtie|ttfn|ttyl|wave|yo|you,face-emotion,people-body,hand-fingers-open,👋,🏻
👋🏼,"waving hand: medium-light skin tone",1.0,bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|medium-light skin tone|outtie|ttfn|ttyl|wave|yo|you,face-emotion,people-body,hand-fingers-open,👋,🏼
👋🏽,"waving hand: medium skin tone",1.0,bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|medium skin tone|outtie|ttfn|ttyl|wave|yo|you,face-emotion,people-body,hand-fingers-open,👋,🏽
👋🏾,"waving hand: medium-dark skin tone",1.0,bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|medium-dark skin tone|outtie|ttfn|ttyl|wave|yo|you,face-emotion,people-body,hand-fingers-open,👋,🏾
👋🏿,"waving hand: dark skin tone",1.0,bye|cya|dark skin tone|g2g|greetings|gtg|hand|hello|hey|hi|later|outtie|ttfn|ttyl|wave|yo|you,face-emotion,people-body,hand-fingers-open,👋,🏿
🤚,"raised back of hand",3.0,back|backhand|hand|raised,face-emotion,people-body,hand-fingers-open,,
🤚🏻,"raised back of hand: light skin tone",3.0,back|backhand|hand|light skin tone|raised,face-emotion,people-body,hand-fingers-open,🤚,🏻
🤚🏼,"raised back of hand: medium-light skin tone",3.0,back|backhand|hand|medium-light skin tone|raised,face-emotion,people-body,hand-fingers-open,🤚,🏼
🤚🏽,"raised back of hand: medium skin tone",3.0,back|backhand|hand|medium skin tone|raised,face-emotion,people-body,hand-fingers-open,🤚,🏽
🤚🏾,"raised back of hand: medium-dark skin tone",3.0,back|backhand|hand|medium-dark skin tone|raised,face-emotion,people-body,hand-fingers-open,🤚,🏾
🤚🏿,"raised back of hand: dark skin tone",3.0,back|backhand|dark skin tone|hand|raised,face-emotion,people-body,hand-fingers-open,🤚,🏿
🖐️,"hand with fingers splayed",0.7,finger|fingers|hand|raised|splayed|stop,face-emotion,people-body,hand-fingers-open,,
🖐🏻,"hand with fingers splayed: light skin tone",1.0,finger|fingers|hand|light skin tone|raised|splayed|stop,face-emotion,people-body,hand-fingers-open,🖐️,🏻
🖐🏼,"hand with fingers splayed: medium-light skin tone",1.0,finger|fingers|hand|medium-light skin tone|raised|splayed|stop,face-emotion,people-body,hand-fingers-open,🖐️,🏼
🖐🏽,"hand with fingers splayed: medium skin tone",1.0,finger|fingers|hand|medium skin tone|raised|splayed|stop,face-emotion,people-body,hand-fingers-open,🖐️,🏽
🖐🏾,"hand with fingers splayed: medium-dark skin tone",1.0,finger|fingers|hand|medium-dark skin tone|raised|splayed|stop,face-emotion,people-body,hand-fingers-open,🖐️,🏾
🖐🏿,"hand with fingers splayed: dark skin tone",1.0,dark skin tone|finger|fingers|hand|raised|splayed|stop,face-emotion,people-body,hand-fingers-open,🖐️,🏿
✋,"raised hand",0.6,5|five|hand|high|raised|stop,face-emotion,people-body,hand-fingers-open,,
