emoji,description,version,keywords,category,group,subgroup,parent,components
👨🏻‍🦼,"man in motorized wheelchair: light skin tone",12.0,accessibility|light skin tone|man|motorized|wheelchair,person-people,people-body,person-activity,👨‍🦼,🏻
👨🏼‍🦼,"man in motorized wheelchair: medium-light skin tone",12.0,accessibility|man|medium-light skin tone|motorized|wheelchair,person-people,people-body,person-activity,👨‍🦼,🏼
👨🏽‍🦼,"man in motorized wheelchair: medium skin tone",12.0,accessibility|man|medium skin tone|motorized|wheelchair,person-people,people-body,person-activity,👨‍🦼,🏽
👨🏾‍🦼,"man in motorized wheelchair: medium-dark skin tone",12.0,accessibility|man|medium-dark skin tone|motorized|wheelchair,person-people,people-body,person-activity,👨‍🦼,🏾
👨🏿‍🦼,"man in motorized wheelchair: dark skin tone",12.0,accessibility|dark skin tone|man|motorized|wheelchair,person-people,people-body,person-activity,👨‍🦼,🏿
👨‍🦼‍➡️,"man in motorized wheelchair: facing right",15.1,accessibility|facing|man|motorized|right|wheelchair,person-people,people-body,person-activity,,
👨🏻‍🦼‍➡️,"man in motorized wheelchair: light skin tone, facing right",15.1,accessibility|facing|light skin tone|man|motorized|right|wheelchair,person-people,people-body,person-activity,👨‍🦼‍➡️,🏻
👨🏼‍🦼‍➡️,"man in motorized wheelchair: medium-light skin tone, facing right",15.1,accessibility|facing|man|medium-light skin tone|motorized|right|wheelchair,person-people,people-body,person-activity,👨‍🦼‍➡️,🏼
👨🏽‍🦼‍➡️,"man in motorized wheelchair: medium skin tone, facing right",15.1,accessibility|facing|man|medium skin tone|motorized|right|wheelchair,person-people,people-body,person-activity,👨‍🦼‍➡️,🏽
👨🏾‍🦼‍➡️,"man in motorized wheelchair: medium-dark skin tone, facing right",15.1,accessibility|facing|man|medium-dark skin tone|motorized|right|wheelchair,person-people,people-body,person-activity,👨‍🦼‍➡️,🏾
👨🏿‍🦼‍➡️,"man in motorized wheelchair: dark skin tone, facing right",15.1,accessibility|dark skin tone|facing|man|motorized|right|wheelchair,person-people,people-body,person-activity,👨‍🦼‍➡️,🏿
👩‍🦼,"woman in motorized wheelchair",12.0,accessibility|motorized|wheelchair|woman,person-people,people-body,person-activity,,
👩🏻‍🦼,"woman in motorized wheelchair: light skin tone",12.0,accessibility|light skin tone|motorized|wheelchair|woman,person-people,people-body,person-activity,👩‍🦼,🏻
👩🏼‍🦼,"woman in motorized wheelchair: medium-light skin tone",12.0,accessibility|medium-light skin tone|motorized|wheelchair|woman,person-people,people-body,person-activity,👩‍🦼,🏼
👩🏽‍🦼,"woman in motorized wheelchair: medium skin tone",12.0,accessibility|medium skin tone|motorized|wheelchair|woman,person-people,people-body,person-activity,👩‍🦼,🏽
